store_id,store_name,vendor_id
1,Anderson Inc,251
2,Rutherford Inc,252
3,Towne LLC,253
4,Grimes - Gorczany,254
5,Hammes - Goldner,255
6,"Bauch, Crist and Nader",256
7,Larkin Group,257
8,"Jacobson, Luettgen and Russel",258
9,Senger - Bogan,259
10,Parker - Spinka,260
11,Gottlieb and Sons,261
12,Ledner Inc,262
13,Huels - Funk,263
14,Cremin - Berge,264
15,Turcotte LLC,265
16,Hettinger - Wiegand,266
17,Hoppe - Runolfsdottir,267
18,"Waters, Lang and Haley",268
19,"Muller, Jacobi and Koelpin",269
20,Macejkovic - Greenfelder,270
21,Reilly - Schmitt,271
22,Osinski LLC,272
23,"Roberts, Morar and Ebert",273
24,Gusikowski Inc,274
25,"Quigley, Considine and King",275
26,"Muller, Murray and Weber",276
27,"Haag, Schuppe and Sporer",277
28,Jaskolski - D'Amore,278
29,"Ankunding, McLaughlin and Schmeler",279
30,Bogan Inc,280
31,Corwin LLC,281
32,Jaskolski - Morissette,282
33,"Koepp, Harber and Simonis",283
34,Yundt - Kovacek,284
35,Kozey - Rosenbaum,285
36,Stanton - Durgan,286
37,Senger Group,287
38,"Borer, Connelly and Rippin",288
39,Reichert Inc,289
40,Wyman and Sons,290
41,Johnston and Sons,291
42,Kuphal Group,292
43,Mueller Inc,293
44,Runolfsdottir - Miller,294
45,Hudson - Balistreri,295
46,Fay LLC,296
47,Jones - Wuckert,297
48,Kunde and Sons,298
49,Rau - Kilback,299
50,O'Connell and Sons,300
51,"Franecki, Grimes and Jacobi",301
52,Mraz LLC,302
53,Daugherty Group,303
54,Carroll and Sons,304
55,"Pollich, Okuneva and Jones",305
56,Wisozk Group,306
57,"Willms, Becker and Friesen",307
58,Dibbert Inc,308
59,"Renner, Schumm and MacGyver",309
60,Balistreri and Sons,310
61,Stark - Lakin,311
62,Ryan Group,312
63,Hyatt - Hessel,313
64,Krajcik - Johnston,314
65,Kuphal Group,315
66,"O'Keefe, Hilpert and Becker",316
67,Gleason - Windler,317
68,Miller Inc,318
69,Hauck - Effertz,319
